Wall time,Step,Value
1615635118.380698,1,70.41124725341797
1615635144.30244,2,84.63874816894531
1615635170.1707623,3,86.66625213623047
1615635195.9961452,4,88.38500213623047
1615635221.7971141,5,88.95999908447266
1615635247.4222474,6,89.29499816894531
1615635273.0194201,7,89.99624633789062
1615635298.5386038,8,91.25499725341797
1615635324.1982374,9,90.63874816894531
1615635349.7167537,10,90.88874816894531
1615635375.1731138,11,90.91124725341797
1615635400.6597066,12,91.09874725341797
1615635426.0587869,13,91.5625
1615635451.4697044,14,92.32624816894531
1615635476.8932285,15,92.75
1615635502.4336762,16,91.38874816894531
1615635527.8406065,17,92.92874908447266
1615635553.287098,18,93.25
1615635578.6600788,19,92.72374725341797
1615635603.9512615,20,92.95999908447266
1615635629.3413694,21,94.3125
1615635654.7151484,22,94.57624816894531
1615635679.9844377,23,94.20124816894531
1615635705.2862642,24,95.0625
1615635730.790803,25,94.91999816894531
1615635756.2456834,26,95.11624908447266
1615635781.7111785,27,95.9375
1615635807.1252515,28,95.73249816894531
1615635832.5669327,29,95.31749725341797
1615635857.8385289,30,95.45999908447266
1615635883.1622636,31,95.11624908447266
1615635908.3645127,32,95.67874908447266
1615635933.6176014,33,95.16999816894531
1615635958.980773,34,95.95999908447266
1615635984.321967,35,95.83499908447266
1615636009.571327,36,94.78624725341797
1615636034.7780192,37,95.0625
1615636060.0608244,38,95.6875
1615636085.2917325,39,95.60749816894531
1615636110.5980628,40,95.35749816894531
1615636135.9944966,41,96.125
1615636161.3330367,42,97.27249908447266
1615636186.677273,43,97.32624816894531
1615636212.1815274,44,97.45124816894531
1615636237.5984273,45,97.64749908447266
1615636262.9584908,46,97.42874908447266
1615636288.227187,47,97.24124908447266
1615636313.7334533,48,97.45124816894531
1615636339.4256787,49,97.29499816894531
1615636364.978771,50,97.86624908447266
1615636390.6142757,51,97.46875
1615636416.3239224,52,96.83499908447266
1615636442.1525674,53,97.53125
1615636467.8799338,54,97.71875
1615636493.362664,55,97.95124816894531
1615636518.8737638,56,97.25
1615636544.4613342,57,97.94249725341797
1615636569.823854,58,97.35749816894531
1615636595.1120894,59,97.33499908447266
1615636620.5219605,60,97.65625
1615636645.7576103,61,98.21875
1615636671.019253,62,98.08499908447266
1615636696.3775284,63,98.25
1615636721.757494,64,98.8125
1615636747.1593328,65,98.46875
1615636772.549764,66,98.12999725341797
1615636797.875759,67,98.125
1615636823.1532314,68,98.53125
1615636848.531072,69,98.5625
1615636873.883348,70,98.40625
1615636899.0815682,71,98.40625
1615636924.4004817,72,98.4375
1615636949.7088547,73,98.5
1615636974.9645114,74,98.53125
1615637000.1384177,75,98.70999908447266
1615637025.4779813,76,98.53125
1615637050.7216475,77,98.71875
1615637076.0703557,78,98.53125
1615637101.3841066,79,98.58499908447266
1615637126.5967913,80,98.55374908447266
1615637151.8394215,81,98.78125
1615637177.1531196,82,99.15625
1615637202.4229152,83,98.78125
1615637227.587481,84,98.875
1615637252.7586114,85,99.0625
1615637278.125797,86,99.08499908447266
1615637303.400311,87,98.92874908447266
1615637328.6322749,88,98.90625
1615637354.0520363,89,99.0625
1615637379.3842807,90,99.1875
1615637404.670974,91,98.86624908447266
1615637430.0213988,92,99.0625
1615637455.2757652,93,98.875
1615637480.547923,94,98.98249816894531
1615637505.807512,95,98.89749908447266
1615637531.100119,96,99.25
1615637556.3831015,97,99.21875
1615637581.781944,98,99.05374908447266
1615637607.2683318,99,99.0
1615637632.6371422,100,99.28125
